"Date","66 m","78 m","92 m","110 m","131 m","156 m","186 m","266 m","380 m"
1993-02-07,1.163,1.39,1.348,1.695,2.148,2.472,3.681,5.341,5.063
1993-02-08,1.123,1.329,1.399,1.743,2.154,2.481,3.665,5.315,5.059
1993-02-09,1.103,1.308,1.419,1.735,2.167,2.475,3.641,5.248,5.056
1993-02-10,1.127,1.372,1.373,1.709,2.158,2.447,3.599,5.189,5.071
1993-02-11,1.03,1.269,1.401,1.732,2.142,2.468,3.63,5.229,5.066
1993-02-12,0.98,1.277,1.35,1.687,2.134,2.443,3.639,5.218,5.071
1993-02-13,0.872,1.105,1.354,1.683,2.125,2.456,3.716,5.236,5.072
1993-02-14,0.834,0.937,1.345,1.637,2.146,2.463,3.815,5.258,5.068
1993-02-15,0.817,0.928,1.346,1.61,2.184,2.496,3.96,5.293,5.08
1993-02-16,0.765,0.917,1.311,1.618,2.163,2.512,4.039,5.367,5.083
1993-02-17,0.793,0.927,1.271,1.596,2.128,2.48,4.035,5.406,5.082
1993-02-18,0.681,0.828,1.236,1.553,2.081,2.454,3.973,5.451,5.092
1993-02-19,0.697,0.917,1.183,1.506,2.018,2.367,3.906,5.472,5.113
1993-02-20,0.617,0.831,1.122,1.464,1.922,2.29,3.796,5.547,5.117
1993-02-21,0.685,0.95,1.048,1.392,1.816,2.109,3.647,5.488,5.138
1993-02-22,0.604,0.819,0.976,1.327,1.715,1.99,3.459,5.5,5.151
1993-02-23,0.466,0.686,0.889,1.239,1.615,1.867,3.385,5.464,5.161
1993-02-24,0.383,0.536,0.824,1.151,1.529,1.758,3.307,5.431,5.171
1993-02-25,0.341,0.491,0.795,1.126,1.511,1.749,3.303,5.405,5.18
1993-02-26,0.336,0.519,0.785,1.127,1.51,1.759,3.3,5.408,5.185
1993-02-27,0.333,0.54,0.775,1.127,1.503,1.756,3.292,5.426,5.192
1993-02-28,0.303,0.521,0.762,1.12,1.496,1.746,3.3,5.414,5.199
1993-03-01,0.261,0.465,0.765,1.12,1.505,1.73,3.29,5.347,5.203
1993-03-02,0.216,0.376,0.744,1.096,1.525,1.737,3.284,5.297,5.209
1993-03-03,0.16,0.335,0.723,1.07,1.57,1.793,3.385,5.314,5.221
1993-03-04,0.174,0.347,0.733,1.099,1.664,1.936,3.635,5.347,5.216
1993-03-05,0.208,0.385,0.75,1.136,1.728,2.059,3.842,5.381,5.212
1993-03-06,0.197,0.388,0.775,1.199,1.831,2.218,4.108,5.406,5.202
1993-03-07,0.202,0.39,0.823,1.269,2.034,2.453,4.39,5.385,5.182
1993-03-08,0.253,0.549,0.936,1.363,2.37,2.935,4.767,5.402,5.192
1993-03-09,0.374,0.703,0.977,1.438,2.442,3.141,5.102,5.432,5.217
1993-03-10,0.409,0.727,0.976,1.496,2.451,3.272,5.205,5.483,5.19
1993-03-11,0.406,0.735,0.964,1.521,2.513,3.37,5.126,5.451,5.191
1993-03-12,0.325,0.701,0.993,1.599,2.619,3.45,5.045,5.408,5.215
1993-03-13,0.379,0.837,1.072,1.672,2.773,3.562,4.966,5.35,5.25
1993-03-14,0.374,0.811,1.017,1.656,2.662,3.523,4.952,5.295,5.266
1993-03-15,0.316,0.652,1.097,1.729,2.712,3.535,4.821,5.222,5.291
1993-03-16,0.388,0.841,1.213,1.824,2.738,3.554,4.776,5.223,5.338
1993-03-17,0.393,0.723,1.201,1.788,2.676,3.527,4.747,5.181,5.355
