"Date","8 m","10 m","13 m","16 m","18 m","25 m","34 m"
1993-01-01,-0.621,0.006,0.99,3.706,1.106,2.152,2.529
1993-01-02,-0.93,-0.256,0.885,3.659,1.437,2.215,2.367
1993-01-03,-1.171,-1.159,0.514,2.792,1.36,2.259,2.365
1993-01-04,-1.256,-1.354,0.522,2.469,1.089,2.134,2.389
1993-01-05,-1.278,-1.05,1.073,2.484,0.47,2.01,2.349
1993-01-06,-1.256,-0.817,1.134,2.56,0.25,1.886,2.308
1993-01-07,-1.181,-0.721,1.041,2.583,0.367,1.881,2.338
1993-01-08,-1.211,-0.734,0.964,2.748,0.402,1.871,2.38
1993-01-09,-1.322,-0.912,0.767,2.817,0.588,1.868,2.359
1993-01-10,-1.418,-1.203,0.228,2.279,0.561,1.87,2.323
1993-01-11,-1.489,-1.252,-0.039,2.027,0.624,1.825,2.331
1993-01-12,-1.532,-1.314,-0.083,1.817,0.56,1.733,2.301
1993-01-13,-1.573,-1.32,-0.148,1.609,0.473,1.643,2.214
1993-01-14,-1.661,-1.252,-0.475,1.275,0.53,1.571,2.133
1993-01-15,-1.698,-1.162,-0.659,1.101,0.743,1.551,2.077
1993-01-16,-1.706,-1.24,-0.521,1.105,0.667,1.375,2.003
1993-01-17,-1.692,-1.307,-0.376,1.123,0.539,1.254,1.79
1993-01-18,-1.723,-1.395,-0.414,1.141,0.323,1.13,1.599
1993-01-19,-1.731,-1.713,-0.444,0.815,-0.417,0.781,1.447
1993-01-20,-1.744,-1.776,-0.707,0.097,-1.262,0.438,1.264
1993-01-21,-1.758,-1.761,-0.858,-0.384,-1.375,0.384,1.179
1993-01-22,-1.766,-1.736,-0.949,-0.461,-1.342,0.232,0.896
1993-01-23,-1.745,-1.725,-0.956,-0.288,-1.398,0.1,0.47
1993-01-24,-1.722,-1.713,-1.058,0.585,-1.452,0.055,0.36
1993-01-25,-1.701,-1.695,-0.987,1.607,-1.487,-0.142,0.36
1993-01-26,-1.698,-1.679,-0.794,2.008,-1.542,-0.057,0.334
1993-01-27,-1.693,-1.638,-0.752,1.469,-1.443,0.071,0.327
1993-01-28,-1.681,-1.625,-0.748,1.216,-1.415,0.116,0.317
1993-01-29,-1.667,-1.598,-0.731,1.206,-1.312,0.175,0.451
1993-01-30,-1.668,-1.607,-0.749,1.227,-1.34,-0.064,0.593
1993-01-31,-1.67,-1.608,-0.911,0.598,-1.21,-0.188,0.541
1993-02-01,-1.719,-1.616,-1.115,0.216,-1.091,-0.326,0.497
1993-02-02,-1.785,-1.716,-1.453,-0.11,-0.918,-0.261,0.463
1993-02-03,-1.767,-1.786,-1.477,-0.343,-0.756,-0.168,0.427
1993-02-04,-1.764,-1.792,-1.377,-0.443,-0.77,-0.317,0.347
1993-02-05,-1.793,-1.815,-1.315,-0.458,-0.836,-0.419,0.108
1993-02-06,-1.809,-1.824,-1.269,-0.57,-1.048,-0.529,-0.135
1993-02-07,-1.813,-1.824,-1.426,-0.644,-1.186,-0.619,-0.25
1993-02-08,-1.821,-1.818,-1.547,-0.688,-1.312,-0.709,-0.362
1993-02-09,-1.831,-1.825,-1.532,-0.774,-1.464,-0.817,-0.505
1993-02-10,-1.827,-1.82,-1.607,-0.883,-1.519,-0.878,-0.576
1993-02-11,-1.823,-1.816,-1.586,-0.974,-1.631,-0.977,-0.697
1993-02-12,-1.798,-1.791,-1.626,-1.025,-1.649,-1.054,-0.784
1993-02-13,-1.802,-1.781,-1.687,-1.118,-1.666,-1.118,-0.863
1993-02-14,-1.784,-1.771,-1.662,-0.683,-1.685,-1.217,-1.105
1993-02-15,-1.734,-1.729,-1.597,0.024,-1.63,-1.222,-1.047
1993-02-16,-1.7,-1.705,-1.54,-0.009,-1.608,-1.236,-1
1993-02-17,-1.697,-1.701,-1.54,-0.285,-1.618,-1.225,-1.016
1993-02-18,-1.687,-1.704,-1.471,0.182,-1.525,-1.219,-0.888
1993-02-19,-1.665,-1.683,-1.442,0.232,-1.479,-1.258,-0.708
1993-02-20,-1.657,-1.622,-1.452,-0.109,-1.417,-1.236,-0.717
1993-02-21,-1.696,-1.611,-1.418,-0.242,-1.397,-1.299,-0.751
1993-02-22,-1.72,-1.622,-1.44,-0.461,-1.402,-1.35,-0.815
1993-02-23,-1.727,-1.645,-1.508,-0.551,-1.407,-1.343,-0.887
1993-02-24,-1.697,-1.644,-1.487,-0.5,-1.383,-1.375,-0.891
1993-02-25,-1.719,-1.653,-1.4,-0.407,-1.344,-1.377,-0.951
1993-02-26,-1.73,-1.648,-1.345,-0.378,-1.293,-1.336,-0.935
1993-02-27,-1.726,-1.632,-1.307,-0.371,-1.282,-1.307,-0.896
1993-02-28,-1.741,-1.619,-1.397,-0.468,-1.277,-1.283,-0.859
1993-03-01,-1.769,-1.683,-1.529,-0.681,-1.204,-1.143,-0.839
1993-03-02,-1.749,-1.72,-1.466,-0.719,-1.164,-1.024,-0.778
1993-03-03,-1.717,-1.727,-1.313,-0.837,-1.159,-1.1,-0.724
1993-03-04,-1.632,-1.695,-1.173,-0.974,-1.185,-1.142,-0.8
1993-03-05,-1.672,-1.717,-1.303,-1.087,-1.208,-1.149,-0.866
1993-03-06,-1.737,-1.704,-1.565,-1.321,-1.211,-1.137,-0.891
1993-03-07,-1.733,-1.687,-1.551,-1.289,-1.241,-1.108,-0.871
1993-03-08,-1.715,-1.712,-1.437,-1.321,-1.32,-1.175,-0.901
1993-03-09,-1.653,-1.688,-1.314,-1.356,-1.399,-1.202,-0.948
1993-03-10,-1.671,-1.675,-1.358,-1.327,-1.431,-1.243,-1.008
1993-03-11,-1.644,-1.652,-1.378,-1.259,-1.446,-1.255,-1.066
1993-03-12,-1.676,-1.664,-1.418,-1.227,-1.482,-1.284,-1.086
1993-03-13,-1.687,-1.704,-1.367,-1.23,-1.528,-1.314,-1.154
1993-03-14,-1.693,-1.7,-1.42,-1.221,-1.559,-1.342,-1.251
1993-03-15,-1.717,-1.713,-1.54,-0.729,-1.617,-1.373,-1.066
1993-03-16,-1.721,-1.714,-1.501,-0.762,-1.641,-1.352,-0.959
1993-03-17,-1.722,-1.715,-1.427,-0.8,-1.676,-1.385,-1.086
1993-03-18,-1.713,-1.71,-1.369,-0.474,-1.685,-1.393,-1.091
1993-03-19,-1.674,-1.681,-1.427,-0.473,-1.605,-1.338,-1.074
1993-03-20,-1.601,-1.649,-1.411,-0.528,-1.553,-1.328,-1.052
1993-03-21,-1.538,-1.616,-1.331,-0.554,-1.526,-1.329,-1
1993-03-22,-1.488,-1.573,-1.264,-0.516,-1.512,-1.346,-0.972
1993-03-23,-1.41,-1.509,-1.147,-0.382,-1.461,-1.299,-0.968
1993-03-24,-1.358,-1.453,-1.04,-0.306,-1.377,-1.273,-0.945
1993-03-25,-1.319,-1.406,-0.988,-0.267,-1.34,-1.254,-0.9
1993-03-26,-1.269,-1.345,-0.91,-0.004,-1.312,-1.207,-0.831
1993-03-27,-1.196,-1.263,-0.809,0.426,-1.292,-1.163,-0.744
1993-03-28,-1.103,-1.174,-0.67,0.787,-1.249,-1.111,-0.657
1993-03-29,-1.03,-1.115,-0.539,0.891,-1.151,-1.034,-0.59
1993-03-30,-1.054,-1.095,-0.429,0.687,-1.063,-0.94,-0.535
1993-03-31,-1.031,-0.896,-0.246,0.73,-0.911,-0.801,-0.461
1993-04-01,-0.804,-0.557,-0.077,0.84,-0.683,-0.664,-0.405
1993-04-02,-0.667,-0.462,-0.073,0.938,-0.524,-0.719,-0.327
1993-04-03,-0.538,-0.405,-0.09,1.157,-0.291,-0.752,-0.226
1993-04-04,-0.286,-0.22,0.028,1.309,0.005,-0.631,-0.154
1993-04-05,-0.015,0.07,0.295,1.382,0.237,-0.454,-0.083
1993-04-06,0.324,0.402,0.597,1.513,0.478,-0.382,0.009
1993-04-07,0.672,0.637,0.854,1.639,0.67,-0.271,0.106
1993-04-08,1.013,0.867,1.106,1.757,0.846,-0.09,0.229
