"Date","8 m","10 m","13 m","16 m","18 m","25 m","34 m"
2009-12-02,6.602,6.719,8.091,8.231,8.569,10.234,10.113
2009-12-03,6.383,6.421,7.834,8.034,8.152,10.144,10.041
2009-12-04,6.308,6.466,7.757,8.021,8.184,10.064,9.969
2009-12-05,6.302,6.597,7.69,8.315,8.33,9.915,9.917
2009-12-06,6.011,6.459,7.41,8.445,8.726,9.757,9.821
2009-12-07,5.501,5.582,7.051,7.733,8.86,9.614,9.613
2009-12-08,5.137,4.987,7.031,7.365,8.04,9.623,9.545
2009-12-09,4.724,4.578,6.543,7.283,8.167,9.436,9.482
2009-12-10,4.387,4.52,5.97,8.12,8.34,9.076,9.278
2009-12-11,4.073,4.302,6.021,7.155,7.448,8.677,8.881
2009-12-12,3.383,3.503,5.627,6.247,4.961,6.721,7.995
2009-12-13,3.063,2.725,5.067,5.11,3.46,5.692,6.673
2009-12-14,3.024,2.675,4.889,4.723,3.223,5.896,6.878
2009-12-15,3.024,2.81,4.957,5.125,3.656,6.11,7.021
2009-12-16,2.942,2.871,4.918,5.337,4.007,6.224,6.988
2009-12-17,2.353,2.37,4.422,4.557,3.733,6.176,6.906
2009-12-18,1.759,1.599,3.842,3.841,2.849,6.098,6.744
2009-12-19,1.35,1.026,3.485,3.554,2.372,6.032,6.648
2009-12-20,1.129,0.843,3.162,4.584,3.415,5.967,6.465
2009-12-21,1.028,0.672,2.827,5.158,4.574,5.959,6.34
2009-12-22,1.115,0.653,3.049,5.07,5.177,6.01,6.222
2009-12-23,1.188,1.027,3.393,5.359,5.365,5.987,6.041
2009-12-24,1.226,1.719,3.584,5.501,5.455,5.947,5.98
2009-12-25,1.264,2.405,3.72,5.522,5.573,5.908,5.96
2009-12-26,1.343,2.898,3.794,5.47,5.603,5.887,5.965
2009-12-27,1.461,2.925,3.62,5.402,5.578,5.848,5.961
2009-12-28,1.663,2.387,3.488,5.003,5.391,5.77,5.912
2009-12-29,1.897,2.481,3.633,4.779,5.222,5.635,5.811
2009-12-30,1.431,1.899,3.329,4.168,4.145,4.931,5.73
2009-12-31,0.969,0.838,2.977,3.645,3.259,4.509,5.444
2010-01-01,0.89,0.782,2.802,3.626,3.257,4.85,5.075
2010-01-02,0.687,0.768,2.424,3.591,3.436,4.756,4.901
2010-01-03,0.688,0.883,2.471,3.799,3.628,4.477,4.824
2010-01-04,0.733,1.305,2.615,3.974,3.751,4.401,4.791
2010-01-05,0.779,1.621,2.797,3.947,3.842,4.378,4.771
2010-01-06,0.86,1.557,2.907,3.844,3.858,4.363,4.768
2010-01-07,0.916,1.381,2.89,3.661,3.79,4.33,4.759
2010-01-08,0.935,1.164,2.866,3.341,3.566,4.293,4.766
2010-01-09,0.878,1.058,2.808,3.103,3.476,4.345,4.827
2010-01-10,0.697,0.678,2.53,2.83,3.552,4.509,4.979
2010-01-11,0.393,0.203,2.264,2.559,3.536,4.621,5.074
2010-01-12,0.175,-0.141,2.112,2.297,2.414,4.498,5.079
2010-01-13,0.003,-0.412,1.741,2.132,2.184,4.412,4.775
2010-01-14,-0.136,-0.6,1.482,2.43,3.032,4.339,3.986
2010-01-15,-0.173,-0.486,1.49,2.816,2.997,4.231,3.781
2010-01-16,-0.166,-0.294,1.769,2.463,2.441,4.175,3.821
2010-01-17,-0.233,-0.34,1.758,2.228,1.818,3.954,3.801
2010-01-18,-0.313,-0.442,1.497,2.394,2.11,3.821,3.681
2010-01-19,-0.497,-0.487,1.187,2.657,2.627,3.504,3.607
2010-01-20,-0.432,-0.261,1.192,2.91,2.693,3.347,3.564
2010-01-21,-0.409,-0.092,1.294,2.807,2.764,3.288,3.528
2010-01-22,-0.39,-0.366,1.358,2.368,2.777,3.277,3.498
2010-01-23,-0.556,-0.717,1.283,1.992,2.773,3.299,3.519
2010-01-24,-0.775,-1.167,1.049,1.771,2.663,3.335,3.533
2010-01-25,-0.783,-1.117,1.005,2.06,2.72,3.308,3.481
2010-01-26,-0.696,-0.666,0.92,2.097,2.052,3.04,3.37
2010-01-27,-0.498,-0.32,1.08,2.182,1.625,2.74,2.988
2010-01-28,-0.366,-0.152,1.189,2.154,1.591,2.687,2.785
2010-01-29,-0.326,-0.078,1.175,2.095,1.538,2.593,2.698
2010-01-30,-0.7,-0.483,0.93,1.66,0.944,2.108,2.48
2010-01-31,-1.07,-0.997,0.716,1.164,0.33,1.786,2.327
2010-02-01,-1.199,-1.321,0.42,0.753,-0.095,1.73,2.237
2010-02-02,-1.292,-1.432,0.19,0.308,-0.792,1.343,2.124
2010-02-03,-1.299,-1.452,-0.039,-0.038,-1.03,1.133,1.908
2010-02-04,-1.331,-1.435,-0.119,0.208,-0.663,1.124,1.861
2010-02-05,-1.472,-1.532,-0.373,-0.284,-0.146,1.307,1.818
2010-02-06,-1.529,-1.572,-0.614,-0.554,0.3,1.384,1.568
2010-02-07,-1.564,-1.511,-0.762,-0.005,0.712,1.363,1.399
2010-02-08,-1.574,-1.317,-0.718,0.388,0.848,1.318,1.365
2010-02-09,-1.576,-1.182,-0.519,0.214,0.979,1.301,1.338
2010-02-10,-1.543,-0.894,-0.349,0.672,1.094,1.274,1.376
2010-02-11,-1.497,-0.785,-0.519,0.876,1.121,1.238,1.431
2010-02-12,-1.431,-0.601,-0.499,0.682,1.034,1.182,1.419
2010-02-13,-1.434,-0.475,-0.262,0.459,0.961,1.188,1.384
2010-02-14,-1.396,-0.537,0.026,0.415,0.928,1.2,1.369
2010-02-15,-1.342,-0.57,0.175,0.447,0.886,1.195,1.353
2010-02-16,-1.273,-0.611,0.27,0.353,0.838,1.2,1.336
2010-02-17,-1.185,-0.654,0.273,0.569,0.857,1.199,1.326
2010-02-18,-1.144,-0.577,0.293,0.67,0.88,1.207,1.315
2010-02-19,-1.05,-0.577,0.386,0.626,0.848,1.22,1.308
2010-02-20,-0.925,-0.685,0.44,0.568,0.805,1.225,1.308
2010-02-21,-0.81,-0.679,0.5,0.754,0.861,1.226,1.335
2010-02-22,-0.71,-0.49,0.551,0.987,0.954,1.238,1.36
2010-02-23,-0.545,-0.237,0.562,1.128,1.056,1.269,1.374
2010-02-24,-0.506,-0.177,0.319,1.206,1.113,1.291,1.376
2010-02-25,-0.293,-0.119,0.057,1.212,1.128,1.272,1.375
2010-02-26,0.04,0.214,0.381,1.246,1.105,1.239,1.368
2010-02-27,0.345,0.53,0.645,1.294,1.176,1.236,1.352
2010-02-28,0.57,0.694,0.791,1.299,1.19,1.243,1.351
2010-03-01,0.756,0.855,0.932,1.299,1.241,1.255,1.349
2010-03-02,0.887,1.023,1.08,1.326,1.302,1.265,1.359
2010-03-03,0.954,1.124,1.182,1.313,1.308,1.305,1.44
2010-03-04,0.957,1.119,1.146,1.278,1.264,1.377,1.592
2010-03-05,0.828,0.894,1.023,1.188,1.167,1.421,1.864
2010-03-06,0.801,0.773,0.998,1.171,1.14,1.499,2.03
2010-03-07,0.929,0.824,1.088,1.225,1.212,1.599,2.086
2010-03-08,1.151,1.045,1.236,1.324,1.272,1.642,2.115
2010-03-09,1.344,1.232,1.372,1.441,1.332,1.626,2.14
2010-03-10,1.42,1.337,1.451,1.538,1.412,1.677,2.189
2010-03-11,1.49,1.427,1.517,1.606,1.481,1.729,2.208
2010-03-12,1.624,1.576,1.626,1.665,1.533,1.778,2.211
2010-03-13,1.735,1.712,1.724,1.7,1.565,1.826,2.209
2010-03-14,1.823,1.79,1.761,1.707,1.602,1.862,2.199
2010-03-15,1.915,1.812,1.777,1.722,1.642,1.878,2.173
2010-03-16,1.982,1.874,1.78,1.743,1.722,1.903,2.148
2010-03-17,2.176,2.024,1.904,1.817,1.787,1.912,2.134
2010-03-18,2.408,2.234,2.051,1.937,1.835,1.914,2.138
2010-03-19,2.618,2.445,2.164,2.091,1.923,1.942,2.175
2010-03-20,2.871,2.617,2.338,2.187,2.018,1.989,2.204
2010-03-21,3.079,2.807,2.466,2.332,2.099,2.002,2.189
2010-03-22,3.247,2.952,2.596,2.427,2.178,2.03,2.206
2010-03-23,3.397,3.049,2.697,2.465,2.219,2.046,2.197
2010-03-24,3.458,3.106,2.803,2.409,2.223,2.069,2.194
2010-03-25,3.478,3.177,2.884,2.593,2.31,2.129,2.203
2010-03-26,3.509,3.324,2.887,2.778,2.479,2.144,2.227
2010-03-27,2.992,3.036,2.661,2.62,2.577,2.173,2.285
2010-03-28,2.635,2.809,2.609,2.48,2.576,2.272,2.408
2010-03-29,2.644,2.769,2.582,2.496,2.653,2.329,2.45
2010-03-30,2.754,2.735,2.634,2.524,2.679,2.319,2.438
