"Date","Bottom Temperature (oC)"
1993-10-17,11.321
1993-10-18,11.305
1993-10-19,11.424
1993-10-20,11.476
1993-10-21,11.467
1993-10-22,11.462
1993-10-23,11.634
1993-10-24,11.759
1993-10-25,11.779
1993-10-26,11.866
1993-10-27,11.726
1993-10-28,11.626
1993-10-29,11.677
1993-10-30,11.677
1993-10-31,11.619
1993-11-01,11.563
1993-11-02,11.525
1993-11-03,11.546
1993-11-04,11.44
1993-11-05,11.392
1993-11-06,11.32
1993-11-07,11.308
1993-11-08,11.289
1993-11-09,11.23
1993-11-10,11.176
1993-11-11,11.07
1993-11-12,10.964
1993-11-13,10.959
1993-11-14,10.895
1993-11-15,10.855
1993-11-16,10.836
1993-11-17,10.771
1993-11-18,10.783
1993-11-19,10.797
1993-11-20,10.743
1993-11-21,10.851
1993-11-22,10.943
1993-11-23,10.935
1993-11-24,10.837
1993-11-25,10.717
1993-11-26,10.5
1993-11-27,10.415
1993-11-28,10.33
1993-11-29,10.45
1993-11-30,10.493
1993-12-01,10.349
1993-12-02,10.264
1993-12-03,10.319
1993-12-04,10.314
1993-12-05,10.28
1993-12-06,10.284
1993-12-07,10.26
1993-12-08,10.223
1993-12-09,10.161
1993-12-10,10.065
1993-12-11,10.029
1993-12-12,10.074
1993-12-13,9.996
1993-12-14,9.874
1993-12-15,9.807
1993-12-16,9.759
1993-12-17,9.473
1993-12-18,9.347
1993-12-19,9.387
1993-12-20,9.507
1993-12-21,9.764
1993-12-22,9.868
1993-12-23,10.226
1993-12-24,10.069
1993-12-25,9.69
1993-12-26,9.556
1993-12-27,9.871
1993-12-28,9.894
1993-12-29,9.541
1993-12-30,9.039
1993-12-31,8.937
1994-01-01,8.96
1994-01-02,8.694
1994-01-03,8.583
1994-01-04,8.243
1994-01-05,8.117
1994-01-06,8.214
1994-01-07,8.071
1994-01-08,7.844
1994-01-09,7.641
1994-01-10,7.482
1994-01-11,7.246
1994-01-12,7.091
1994-01-13,7.02
1994-01-14,6.971
1994-01-15,6.907
1994-01-16,6.606
1994-01-17,6.304
1994-01-18,6.148
1994-01-19,5.926
1994-01-20,5.787
1994-01-21,5.721
1994-01-22,5.627
1994-01-23,5.475
1994-01-24,5.441
1994-01-25,5.403
1994-01-26,5.369
1994-01-27,5.289
1994-01-28,5.217
1994-01-29,5.081
1994-01-30,4.993
1994-01-31,5.041
1994-02-01,5.019
1994-02-02,4.938
1994-02-03,4.904
1994-02-04,4.805
1994-02-05,4.749
1994-02-06,4.769
1994-02-07,4.763
1994-02-08,4.727
1994-02-09,4.694
1994-02-10,4.672
1994-02-11,4.609
1994-02-12,4.576
1994-02-13,4.564
1994-02-14,4.532
1994-02-15,4.446
1994-02-16,4.403
1994-02-17,4.367
1994-02-18,4.329
1994-02-19,4.315
1994-02-20,4.302
1994-02-21,4.321
1994-02-22,4.333
1994-02-23,4.354
1994-02-24,4.382
1994-02-25,4.403
1994-02-26,4.423
1994-02-27,4.363
1994-02-28,4.27
1994-03-01,4.222
1994-03-02,4.204
1994-03-03,4.244
1994-03-04,4.248
1994-03-05,4.255
1994-03-06,4.312
1994-03-07,4.388
1994-03-08,4.441
1994-03-09,4.475
1994-03-10,4.542
1994-03-11,4.638
1994-03-12,4.641
1994-03-13,4.759
1994-03-14,4.806
1994-03-15,4.79
1994-03-16,4.819
1994-03-17,4.814
1994-03-18,4.81
1994-03-19,4.838
1994-03-20,4.885
1994-03-21,4.925
1994-03-22,4.976
1994-03-23,4.998
1994-03-24,5.023
1994-03-25,5.064
1994-03-26,5.064
1994-03-27,5.071
1994-03-28,5.108
1994-03-29,5.104
1994-03-30,5.17
1994-03-31,5.205
1994-04-01,5.181
1994-04-02,5.217
1994-04-03,5.294
1994-04-04,5.304
1994-04-05,5.293
1994-04-06,5.346
1994-04-07,5.339
1994-04-08,5.291
1994-04-09,5.309
1994-04-10,5.347
1994-04-11,5.328
1994-04-12,5.332
1994-04-13,5.403
1994-04-14,5.472
1994-04-15,5.454
1994-04-16,5.479
1994-04-17,5.509
1994-04-18,5.503
1994-04-19,5.502
1994-04-20,5.504
1994-04-21,5.499
1994-04-22,5.502
1994-04-23,5.52
1994-04-24,5.523
1994-04-25,5.532
1994-04-26,5.614
1994-04-27,5.653
1994-04-28,5.627
1994-04-29,5.64
1994-04-30,5.701
1994-05-01,5.732
1994-05-02,5.748
1994-05-03,5.749
1994-05-04,5.782
1994-05-05,5.842
1994-05-06,5.859
1994-05-07,5.877
1994-05-08,5.94
1994-05-09,5.986
1994-05-10,6.023
1994-05-11,6.07
1994-05-12,6.087
1994-05-13,6.09
1994-05-14,6.103
1994-05-15,6.142
1994-05-16,6.198
1994-05-17,6.247
1994-05-18,6.297
1994-05-19,6.36
1994-05-20,6.409
1994-05-21,6.398
1994-05-22,6.39
1994-05-23,6.405
1994-05-24,6.421
1994-05-25,6.469
1994-05-26,6.498
1994-05-27,6.517
1994-05-28,6.553
1994-05-29,6.603
1994-05-30,6.621
1994-05-31,6.64
1994-06-01,6.665
1994-06-02,6.718
1994-06-03,6.766
1994-06-04,6.822
1994-06-05,6.894
1994-06-06,6.956
1994-06-07,7.007
1994-06-08,7.052
1994-06-09,7.095
1994-06-10,7.115
1994-06-11,7.137
1994-06-12,7.164
1994-06-13,7.195
1994-06-14,7.222
1994-06-15,7.249
1994-06-16,7.297
1994-06-17,7.339
1994-06-18,7.376
1994-06-19,7.412
1994-06-20,7.454
1994-06-21,7.492
1994-06-22,7.522
1994-06-23,7.571
1994-06-24,7.64
1994-06-25,7.726
1994-06-26,7.803
1994-06-27,7.871
1994-06-28,7.945
1994-06-29,8.014
1994-06-30,8.051
1994-07-01,8.09
1994-07-02,8.14
1994-07-03,8.183
1994-07-04,8.224
1994-07-05,8.268
1994-07-06,8.303
1994-07-07,8.338
1994-07-08,8.356
1994-07-09,8.356
1994-07-10,8.352
1994-07-11,8.366
1994-07-12,8.389
1994-07-13,8.412
1994-07-14,8.483
1994-07-15,8.568
1994-07-16,8.632
1994-07-17,8.728
1994-07-18,8.813
1994-07-19,8.855
1994-07-20,8.907
1994-07-21,8.924
1994-07-22,8.923
1994-07-23,8.925
1994-07-24,8.953
1994-07-25,8.983
1994-07-26,8.998
1994-07-27,9.02
1994-07-28,9.063
1994-07-29,9.105
1994-07-30,9.143
1994-07-31,9.175
1994-08-01,9.204
1994-08-02,9.24
1994-08-03,9.289
1994-08-04,9.335
1994-08-05,9.36
1994-08-06,9.39
1994-08-07,9.429
1994-08-08,9.458
1994-08-09,9.485
1994-08-10,9.5
1994-08-11,9.498
1994-08-12,9.501
1994-08-13,9.511
1994-08-14,9.517
1994-08-15,9.588
1994-08-16,9.865
1994-08-17,10.151
1994-08-18,10.343
1994-08-19,10.524
1994-08-20,10.621
1994-08-21,10.685
1994-08-22,10.767
1994-08-23,10.864
1994-08-24,10.808
1994-08-25,10.76
1994-08-26,10.834
1994-08-27,10.982
1994-08-28,11.154
1994-08-29,11.337
1994-08-30,11.544
1994-08-31,11.611
1994-09-01,11.612
1994-09-02,11.599
1994-09-03,11.621
1994-09-04,11.661
1994-09-05,11.595
1994-09-06,11.535
1994-09-07,11.601
1994-09-08,11.544
1994-09-09,11.442
1994-09-10,11.36
1994-09-11,11.338
1994-09-12,11.367
1994-09-13,11.394
1994-09-14,11.38
1994-09-15,11.359
1994-09-16,11.334
1994-09-17,11.314
1994-09-18,11.353
1994-09-19,11.393
1994-09-20,11.35
1994-09-21,11.365
1994-09-22,11.367
1994-09-23,11.336
1994-09-24,11.35
1994-09-25,11.399
1994-09-26,11.355
1994-09-27,11.34
1994-09-28,11.352
1994-09-29,11.342
1994-09-30,11.338
1994-10-01,11.354
1994-10-02,11.366
1994-10-03,11.364
1994-10-04,11.377
1994-10-05,11.368
1994-10-06,11.362
1994-10-07,11.35
1994-10-08,11.332
1994-10-09,11.323
1994-10-10,11.318
1994-10-11,11.326
1994-10-12,11.379
1994-10-13,11.44
1994-10-14,11.477
1994-10-15,11.54
1994-10-16,11.572
1994-10-17,11.623
1994-10-18,11.604
1994-10-19,11.56
1994-10-20,11.59
1994-10-21,11.661
1994-10-22,11.717
1994-10-23,11.829
1994-10-24,11.883
1994-10-25,11.91
1994-10-26,11.915
1994-10-27,11.943
1994-10-28,11.964
1994-10-29,12.038
1994-10-30,12.183
1994-10-31,12.353
1994-11-01,12.391
1994-11-02,12.491
1994-11-03,12.872
1994-11-04,13.017
1994-11-05,12.916
1994-11-06,13.024
1994-11-07,13.09
1994-11-08,13.343
1994-11-09,13.395
1994-11-10,13.227
1994-11-11,13.03
1994-11-12,12.886
1994-11-13,12.615
1994-11-14,12.373
1994-11-15,12.22
1994-11-16,12.319
1994-11-17,12.152
1994-11-18,11.965
1994-11-19,11.854
1994-11-20,11.818
1994-11-21,11.655
1994-11-22,11.436
1994-11-23,11.252
1994-11-24,11.02
1994-11-25,10.845
1994-11-26,10.72
1994-11-27,10.635
1994-11-28,10.557
1994-11-29,10.452
1994-11-30,10.358
1994-12-01,10.295
1994-12-02,10.213
1994-12-03,10.101
1994-12-04,10.086
1994-12-05,10.094
1994-12-06,10.05
1994-12-07,10.007
1994-12-08,9.979
1994-12-09,9.838
1994-12-10,9.81
1994-12-11,9.759
1994-12-12,9.657
1994-12-13,9.573
1994-12-14,9.503
1994-12-15,9.453
1994-12-16,9.374
1994-12-17,9.323
1994-12-18,9.285
1994-12-19,9.254
1994-12-20,9.177
1994-12-21,9.079
1994-12-22,9.005
1994-12-23,8.977
1994-12-24,8.984
1994-12-25,8.968
1994-12-26,8.977
1994-12-27,8.948
1994-12-28,8.878
1994-12-29,8.828
1994-12-30,8.646
1994-12-31,8.445
1995-01-01,8.379
1995-01-02,8.329
1995-01-03,8.254
1995-01-04,8.126
1995-01-05,7.962
1995-01-06,7.753
1995-01-07,7.614
1995-01-08,7.582
1995-01-09,7.551
1995-01-10,7.473
1995-01-11,7.4
1995-01-12,7.323
1995-01-13,7.265
1995-01-14,7.212
1995-01-15,7.201
1995-01-16,7.131
1995-01-17,7.018
1995-01-18,6.999
1995-01-19,7.055
1995-01-20,7.053
1995-01-21,7.073
1995-01-22,7.098
1995-01-23,7.088
1995-01-24,7.061
1995-01-25,7.037
1995-01-26,6.973
1995-01-27,6.884
1995-01-28,6.755
1995-01-29,6.678
1995-01-30,6.631
1995-01-31,6.563
1995-02-01,6.501
1995-02-02,6.462
1995-02-03,6.463
1995-02-04,6.425
1995-02-05,6.331
1995-02-06,6.09
1995-02-07,5.975
1995-02-08,5.92
1995-02-09,5.907
1995-02-10,5.827
1995-02-11,5.784
1995-02-12,5.795
1995-02-13,5.645
1995-02-14,5.548
1995-02-15,5.529
1995-02-16,5.496
1995-02-17,5.416
1995-02-18,5.403
1995-02-19,5.37
1995-02-20,5.329
1995-02-21,5.304
1995-02-22,5.28
1995-02-23,5.245
1995-02-24,5.211
1995-02-25,5.228
1995-02-26,5.169
1995-02-27,5.095
1995-02-28,5.059
1995-03-01,5.061
1995-03-02,5.081
1995-03-03,5.113
1995-03-04,5.138
1995-03-05,5.143
1995-03-06,5.157
1995-03-07,5.159
1995-03-08,5.162
1995-03-09,5.173
1995-03-10,5.202
1995-03-11,5.227
1995-03-12,5.261
1995-03-13,5.296
1995-03-14,5.305
1995-03-15,5.333
1995-03-16,5.311
1995-03-17,5.268
1995-03-18,5.22
1995-03-19,5.174
1995-03-20,5.143
1995-03-21,5.047
1995-03-22,4.976
1995-03-23,4.97
1995-03-24,4.994
1995-03-25,5.023
1995-03-26,5.044
1995-03-27,5.068
1995-03-28,5.109
1995-03-29,5.131
1995-03-30,5.117
1995-03-31,5.096
1995-04-01,5.085
1995-04-02,5.104
1995-04-03,5.132
1995-04-04,5.173
1995-04-05,5.178
1995-04-06,5.048
1995-04-07,4.994
1995-04-08,4.971
1995-04-09,4.966
1995-04-10,4.981
1995-04-11,4.993
1995-04-12,4.998
1995-04-13,5.019
1995-04-14,5.049
1995-04-15,5.063
1995-04-16,5.08
1995-04-17,5.1
1995-04-18,5.127
1995-04-19,5.154
1995-04-20,5.178
1995-04-21,5.191
1995-04-22,5.198
1995-04-23,5.221
1995-04-24,5.243
1995-04-25,5.255
1995-04-26,5.262
1995-04-27,5.283
1995-04-28,5.283
1995-04-29,5.275
1995-04-30,5.267
1995-05-01,5.252
1995-05-02,5.235
1995-05-03,5.246
1995-05-04,5.249
1995-05-05,5.297
1995-05-06,5.345
1995-05-07,5.363
1995-05-08,5.414
1995-05-09,5.411
1995-05-10,5.443
1995-05-11,5.488
1995-05-12,5.533
1995-05-13,5.588
1995-05-14,5.62
1995-05-15,5.651
1995-05-16,5.685
1995-05-17,5.725
1995-05-18,5.777
1995-05-19,5.835
1995-05-20,5.868
1995-05-21,5.904
1995-05-22,5.943
1995-05-23,5.981
